ID,Age,Partial Discharge,Visual Condition,Natural Corrosion,Loading,Health Index
1,18,0.08,Medium,0.53,646,4
2,28,0.21,Medium,0.71,131,4
3,27,0.19,Medium,0.69,552,4
4,18,0.07,Medium,0.53,155,4
5,16,0.06,Good,0.5,349,5
6,15,0.05,Good,0.46,333,5
7,44,0.68,Poor,0.9,302,2
8,41,0.54,Poor,0.84,564,2
9,50,0.91,Poor,0.94,479,1
10,16,0.05,Good,0.48,124,5
11,34,0.35,Poor,0.8,492,3
12,43,0.61,Poor,0.85,484,2
13,28,0.22,Medium,0.69,409,4
14,16,0.06,Good,0.45,97,5
15,51,0.89,Poor,0.93,215,1
16,16,0.05,Good,0.47,360,5
17,22,0.13,Medium,0.6,119,4
18,15,0.05,Good,0.44,75,5
19,15,0.05,Good,0.46,173,5
20,47,0.75,Poor,0.91,108,2
21,40,0.49,Poor,0.83,589,3
22,16,0.06,Good,0.45,647,5
23,29,0.22,Poor,0.69,240,3
24,50,0.86,Poor,0.93,399,2
25,38,0.46,Poor,0.77,415,3
26,17,0.06,Good,0.48,83,5
27,40,0.52,Poor,0.85,570,3
28,15,0.05,Good,0.44,476,5
29,33,0.31,Poor,0.71,220,3
30,31,0.29,Poor,0.74,632,3
31,20,0.1,Medium,0.58,528,4
32,16,0.06,Good,0.5,157,5
33,24,0.15,Medium,0.65,493,4
34,20,0.1,Medium,0.55,236,4
35,18,0.08,Medium,0.53,513,4
36,39,0.47,Poor,0.83,348,2
37,15,0.05,Good,0.46,171,5
38,38,0.45,Poor,0.78,354,3
39,15,0.05,Good,0.45,159,5
40,51,0.95,Poor,1,233,1
41,37,0.41,Poor,0.85,419,3
42,18,0.08,Good,0.49,70,5
43,15,0.05,Good,0.48,127,5
44,15,0.05,Good,0.48,401,5
45,17,0.06,Good,0.5,450,5
46,16,0.06,Good,0.48,86,5
47,15,0.05,Good,0.44,520,5
48,32,0.31,Poor,0.77,122,3
49,33,0.33,Poor,0.77,640,3
50,33,0.31,Poor,0.78,512,3
51,35,0.37,Poor,0.76,385,3
52,17,0.07,Good,0.49,649,5
53,16,0.06,Good,0.5,414,5
54,20,0.1,Medium,0.55,386,4
55,44,0.66,Poor,0.89,311,2
56,47,0.72,Poor,0.95,402,2
57,17,0.07,Medium,0.47,276,4
58,20,0.1,Medium,0.54,515,4
59,19,0.09,Medium,0.54,301,4
60,16,0.05,Good,0.46,351,5
